variant,prompt,response
A,"Opis produktu: Buty, które pasują dla każdego rozmiaru stopy.
Słowa początkowe: dostosowanie, dopasowanie, uniwersalny rozmiar
Nazwy produktów:","1. Dostosowujące buty UniFit
2. Uniwersalne buty FlexSize
3. Dopasowujące się buty OneFit
4. Buty AllSize SmartFit
5. Uniwersalne obuwie FlexFit"
A,"Opis produktu: Buty, które pasują dla każdego rozmiaru stopy.
Słowa początkowe: dostosowanie, dopasowanie, uniwersalny rozmiar
Nazwy produktów:","1. UniSize Shoes
2. FlexFit Footwear
3. OneSize Fits All Boots
4. AdaptiFit Sneakers
5. Universal Fit Shoes"
A,"Opis produktu: Buty, które pasują dla każdego rozmiaru stopy.
Słowa początkowe: dostosowanie, dopasowanie, uniwersalny rozmiar
Nazwy produktów:","1. UniFit Shoes
2. MultiSize Sneakers
3. FlexFit Footwear
4. AllFit Boots
5. AdaptSize Trainers"
A,"Opis produktu: Buty, które pasują dla każdego rozmiaru stopy.
Słowa początkowe: dostosowanie, dopasowanie, uniwersalny rozmiar
Nazwy produktów:","1. Dostosowane buty
2. Dopasowana obuwie
3. Uniwersalny rozmiar stóp
4. Buty dla wszystkich rozmiarów
5. ""FitAll"" - buty uniwersalne"
A,"Opis produktu: Buty, które pasują dla każdego rozmiaru stopy.
Słowa początkowe: dostosowanie, dopasowanie, uniwersalny rozmiar
Nazwy produktów:","1. Dostosowana doskonałość
2. Uniwersalny komfort
3. Dopasowanie Idealne
4. Uniwersalna wygoda
5. Buty Harmonii
6. Dopasowane marzenie"
B,"Opis produktu: Automat do przygotowania mlecznych koktajli w domu.
Słowa początkowe: szybki, zdrowy, kompaktowy.
Nazwy produktów: HomeShaker, Fit Shaker, QuickShake, Shake Maker
Opis produktu: Zegarek, który podaje dokładny czas w przestrzeni kosmicznej
Słowa początkowe: astronauta, odporne na przestrzeń kosmiczną, orbita eliptyczna
Nazwy produktów: AstroTime, SpaceGuard, Orbit-Accurate, EliptoTime.
Opis produktu: Buty, które pasują dla każdego rozmiaru stopy.
Słowa początkowe: dostosowanie, dopasowanie, uniwersalny rozmiar
Nazwy produktów:","UniFit Shoes, FlexSize Footwear, PerfectFit Footwear, AllSize Sneakers"
B,"Opis produktu: Automat do przygotowania mlecznych koktajli w domu.
Słowa początkowe: szybki, zdrowy, kompaktowy.
Nazwy produktów: HomeShaker, Fit Shaker, QuickShake, Shake Maker
Opis produktu: Zegarek, który podaje dokładny czas w przestrzeni kosmicznej
Słowa początkowe: astronauta, odporne na przestrzeń kosmiczną, orbita eliptyczna
Nazwy produktów: AstroTime, SpaceGuard, Orbit-Accurate, EliptoTime.
Opis produktu: Buty, które pasują dla każdego rozmiaru stopy.
Słowa początkowe: dostosowanie, dopasowanie, uniwersalny rozmiar
Nazwy produktów:","SizeFlex, UniFit, StretchoShoes, PerfectFit."
B,"Opis produktu: Automat do przygotowania mlecznych koktajli w domu.
Słowa początkowe: szybki, zdrowy, kompaktowy.
Nazwy produktów: HomeShaker, Fit Shaker, QuickShake, Shake Maker
Opis produktu: Zegarek, który podaje dokładny czas w przestrzeni kosmicznej
Słowa początkowe: astronauta, odporne na przestrzeń kosmiczną, orbita eliptyczna
Nazwy produktów: AstroTime, SpaceGuard, Orbit-Accurate, EliptoTime.
Opis produktu: Buty, które pasują dla każdego rozmiaru stopy.
Słowa początkowe: dostosowanie, dopasowanie, uniwersalny rozmiar
Nazwy produktów:","FootFlex, SizeFit, AllFit, SoleMate."
B,"Opis produktu: Automat do przygotowania mlecznych koktajli w domu.
Słowa początkowe: szybki, zdrowy, kompaktowy.
Nazwy produktów: HomeShaker, Fit Shaker, QuickShake, Shake Maker
Opis produktu: Zegarek, który podaje dokładny czas w przestrzeni kosmicznej
Słowa początkowe: astronauta, odporne na przestrzeń kosmiczną, orbita eliptyczna
Nazwy produktów: AstroTime, SpaceGuard, Orbit-Accurate, EliptoTime.
Opis produktu: Buty, które pasują dla każdego rozmiaru stopy.
Słowa początkowe: dostosowanie, dopasowanie, uniwersalny rozmiar
Nazwy produktów:","FlexFit, OneSize, AdaptSole, ComfyFit."
B,"Opis produktu: Automat do przygotowania mlecznych koktajli w domu.
Słowa początkowe: szybki, zdrowy, kompaktowy.
Nazwy produktów: HomeShaker, Fit Shaker, QuickShake, Shake Maker
Opis produktu: Zegarek, który podaje dokładny czas w przestrzeni kosmicznej
Słowa początkowe: astronauta, odporne na przestrzeń kosmiczną, orbita eliptyczna
Nazwy produktów: AstroTime, SpaceGuard, Orbit-Accurate, EliptoTime.
Opis produktu: Buty, które pasują dla każdego rozmiaru stopy.
Słowa początkowe: dostosowanie, dopasowanie, uniwersalny rozmiar
Nazwy produktów:","FlexFit Shoe, UniversalSole, CustomStep, AdaptiFoot"
