variant,prompt,response,feedback
A,"Opis produktu: Buty, które pasują dla każdego rozmiaru stopy.
Słowa początkowe: dostosowanie, dopasowanie, uniwersalny rozmiar
Nazwy produktów:","1. UniFitShoes
2. PerfectFit Footwear
3. AllSize Adapt Shoes
4. UniversalStep Sneakers
5. InfiniteComfort Loafers
6. FlexiFit Footgear
7. AnySize Walkers
8. TailorToYou Shoes
9. OneSize Fits All Boots
10. CustomFit Sneakers",1
A,"Opis produktu: Buty, które pasują dla każdego rozmiaru stopy.
Słowa początkowe: dostosowanie, dopasowanie, uniwersalny rozmiar
Nazwy produktów:","1. Dostosowujące się Buty
2. Vario-Fit Buty
3. Uniwersalne Dopasowujące Buty
4. VersaSize Buty
5. AdaptiFit Buty",0
B,"Opis produktu: Automat do przygotowania mlecznych koktajli w domu.
Słowa początkowe: szybki, zdrowy, kompaktowy.
Nazwy produktów: HomeShaker, Fit Shaker, QuickShake, Shake Maker
Opis produktu: Zegarek, który podaje dokładny czas w przestrzeni kosmicznej
Słowa początkowe: astronauta, odporne na przestrzeń kosmiczną, orbita eliptyczna
Nazwy produktów: AstroTime, SpaceGuard, Orbit-Accurate, EliptoTime.
Opis produktu: Buty, które pasują dla każdego rozmiaru stopy.

Słowa początkowe: dostosowanie, dopasowanie, uniwersalny rozmiar
Nazwy produktów:","UniFit Shoes, SizeFlex Sneakers, CustomFit Kicks, AllSize Footwear",1
B,"Opis produktu: Automat do przygotowania mlecznych koktajli w domu.
Słowa początkowe: szybki, zdrowy, kompaktowy.
Nazwy produktów: HomeShaker, Fit Shaker, QuickShake, Shake Maker
Opis produktu: Zegarek, który podaje dokładny czas w przestrzeni kosmicznej
Słowa początkowe: astronauta, odporne na przestrzeń kosmiczną, orbita eliptyczna
Nazwy produktów: AstroTime, SpaceGuard, Orbit-Accurate, EliptoTime.
Opis produktu: Buty, które pasują dla każdego rozmiaru stopy.

Słowa początkowe: dostosowanie, dopasowanie, uniwersalny rozmiar
Nazwy produktów:","FootFlex, OneFitShoe, SizeMaster, AllSizeSole.",1
A,"Opis produktu: Buty, które pasują dla każdego rozmiaru stopy.
Słowa początkowe: dostosowanie, dopasowanie, uniwersalny rozmiar
Nazwy produktów:","Oto propozycje nazw produktów z uwzględnieniem informacji o uniwersalnym rozmiarze butów:

1. Dostosowane do Ciebie Buty
2. Uniwersalne Dopasowanie Butów
3. Buty Universal Size Fit
4. Buty Doskonałego Dostosowania
5. Uniwersalny Komfort Butów",1
A,"Opis produktu: Buty, które pasują dla każdego rozmiaru stopy.
Słowa początkowe: dostosowanie, dopasowanie, uniwersalny rozmiar
Nazwy produktów:","1. Dostosowujące buty
2. Uniwersalna buty dopasowujące
3. Dopasowanie Plus Buty
4. Buty na każdą stopę
5. Uniwersalne buty dopasowujące",1
B,"Opis produktu: Automat do przygotowania mlecznych koktajli w domu.
Słowa początkowe: szybki, zdrowy, kompaktowy.
Nazwy produktów: HomeShaker, Fit Shaker, QuickShake, Shake Maker
Opis produktu: Zegarek, który podaje dokładny czas w przestrzeni kosmicznej
Słowa początkowe: astronauta, odporne na przestrzeń kosmiczną, orbita eliptyczna
Nazwy produktów: AstroTime, SpaceGuard, Orbit-Accurate, EliptoTime.
Opis produktu: Buty, które pasują dla każdego rozmiaru stopy.

Słowa początkowe: dostosowanie, dopasowanie, uniwersalny rozmiar
Nazwy produktów:","FootFlex, SizeEase, PerfectFit, UniversalStride",0
A,"Opis produktu: Buty, które pasują dla każdego rozmiaru stopy.
Słowa początkowe: dostosowanie, dopasowanie, uniwersalny rozmiar
Nazwy produktów:","1. ""Uniwersalne Dopasowanie Butów""
2. ""Stopy na Miarę Butów""
3. ""Buty Dostosowane do Ciebie""
4. ""Buty Universize Fit""
5. ""Buty All-Size Fit""
6. ""Uniwersalne Dopasowanie Obuwia""
7. ""Buty na Każdą Stopę""
8. ""Buty Adaptive Fit""
9. ""Buty Dla Wszystkich Rozmiarów Stóp""
10. ""Buty Uniwersalnej Pasywności""",1
B,"Opis produktu: Automat do przygotowania mlecznych koktajli w domu.
Słowa początkowe: szybki, zdrowy, kompaktowy.
Nazwy produktów: HomeShaker, Fit Shaker, QuickShake, Shake Maker
Opis produktu: Zegarek, który podaje dokładny czas w przestrzeni kosmicznej
Słowa początkowe: astronauta, odporne na przestrzeń kosmiczną, orbita eliptyczna
Nazwy produktów: AstroTime, SpaceGuard, Orbit-Accurate, EliptoTime.
Opis produktu: Buty, które pasują dla każdego rozmiaru stopy.

Słowa początkowe: dostosowanie, dopasowanie, uniwersalny rozmiar
Nazwy produktów:","FootFit, SizeFlex, OneSizeFitsAll, AdaptSole",0
B,"Opis produktu: Automat do przygotowania mlecznych koktajli w domu.
Słowa początkowe: szybki, zdrowy, kompaktowy.
Nazwy produktów: HomeShaker, Fit Shaker, QuickShake, Shake Maker
Opis produktu: Zegarek, który podaje dokładny czas w przestrzeni kosmicznej
Słowa początkowe: astronauta, odporne na przestrzeń kosmiczną, orbita eliptyczna
Nazwy produktów: AstroTime, SpaceGuard, Orbit-Accurate, EliptoTime.
Opis produktu: Buty, które pasują dla każdego rozmiaru stopy.

Słowa początkowe: dostosowanie, dopasowanie, uniwersalny rozmiar
Nazwy produktów:","ShoeFit All, SizeVersa, UniversalSole, PerfectFit",1
,,,0
,,,1
,,,1
